Variable,Tipo de fuente,Probabilidad,Justificación,Ponderación
SO2,Sin definir,4,Emisiones de SO₂ suelen asociarse a combustión de combustibles fósiles; sin definir probablemente incluye combustibles líquidos/solidos.,0.4
SO2,Horno,7,Hornos que queman combustibles fósiles o coque emiten SO₂; intensidad depende del combustible.,0.4
SO2,Caldera,8,"Calderas industriales queman combustibles (residual, fuel oil, gas) y suelen ser fuentes importantes de SO₂.",0.4
SO2,Caldera horno,8,Combina características de caldera y horno — alta probabilidad de SO₂ por combustión.,0.4
SO2,Planta de asfalto,6,Uso de combustibles bituminosos y procesos de calentamiento emiten SO₂ moderado-alto.,0.4
SO2,Secadores,5,"Secadores industriales (si usan combustión) pueden emitir SO₂, pero menor que calderas.",0.4
SO2,Molino,1,Procesamiento mecánico en molinos no suele generar SO₂; solo si tienen quemadores asociados.,0.4
SO2,Trituradora,1,"Igual que molino: principalmente físico, no combustión directa.",0.4
SO2,Chimenea,5,"Chimenea es el conducto de salida; si está asociada a combustión, puede transportar SO₂ (depende de fuente).",0.4
SO2,No aplica (área de operación),4,Actividad de área puede incluir combustión distribuida o manejo de materiales con azufre; probabilidad moderada para emisiones difusas.,0.4
SO2,Batería de coquización,9,La coquización libera compuestos sulfurados; alta emisión de SO₂/compuestos originados en coque.,0.4
SO2,Reactor,4,Depende del proceso del reactor; ciertos procesos químicos pueden emitir SO₂ pero no es general.,0.4
RH,Sin definir,0,Humedad relativa (RH) es meteorológica; fuentes de combustión no la causan directamente.,0.5
RH,Horno,0,Horno no genera RH de forma significativa; influencia mínima.,0.5
RH,Caldera,0,Variable meteorológica; efecto de fuente negligible.,0.5
RH,Caldera horno,0,Variable meteorológica; efecto negligible.,0.5
RH,Planta de asfalto,0,Variable meteorológica; efecto negligible.,0.5
RH,Secadores,1,Secadores extraen o agregan humedad al flujo de gases locales — leve efecto muy localizado.,0.5
RH,Molino,0,Efecto nulo sobre RH ambiental.,0.5
RH,Trituradora,0,Efecto nulo sobre RH ambiental.,0.5
RH,Chimenea,0,Variable meteorológica; efecto negligible.,0.5
RH,No aplica (área de operación),0,Variable meteorológica; no atribuible a operaciones de área.,0.5
RH,Batería de coquización,0,Variable meteorológica; efecto negligible.,0.5
RH,Reactor,1,Algunos reactores manejan vapor/humedad; posible efecto muy limitado y localizado.,0.5
WDS,Sin definir,0,WDS es meteorológica; no se produce por fuente puntual.,0.5
WDS,Horno,0,Variable meteorológica; no generada por hornos.,0.5
WDS,Caldera,0,Variable meteorológica; no generada por calderas.,0.5
WDS,Caldera horno,0,Variable meteorológica.,0.5
WDS,Planta de asfalto,0,Variable meteorológica; influencia negligente.,0.5
WDS,Secadores,0,Variable meteorológica; efecto local negligible a escala de estación.,0.5
WDS,Molino,0,Variable meteorológica.,0.5
WDS,Trituradora,0,Variable meteorológica.,0.5
WDS,Chimenea,0,"Chimenea impulsa flujo ascendente, no velocidad horizontal medida por WDS.",0.5
WDS,No aplica (área de operación),0,Variable meteorológica; no atribuible a operaciones de área.,0.5
WDS,Batería de coquización,0,Variable meteorológica; no altera WDS a escala regional.,0.5
WDS,Reactor,0,Variable meteorológica.,0.5
WDD,Sin definir,0,Dirección del viento es meteorológica; no originada por fuente.,0.5
WDD,Horno,0,Variable meteorológica.,0.5
WDD,Caldera,0,Variable meteorológica.,0.5
WDD,Caldera horno,0,Variable meteorológica.,0.5
WDD,Planta de asfalto,0,Variable meteorológica.,0.5
WDD,Secadores,0,Variable meteorológica.,0.5
WDD,Molino,0,Variable meteorológica.,0.5
WDD,Trituradora,0,Variable meteorológica.,0.5
WDD,Chimenea,0,Variable meteorológica; no altera dirección regional registrada.,0.5
WDD,No aplica (área de operación),0,Variable meteorológica.,0.5
WDD,Batería de coquización,0,Variable meteorológica.,0.5
WDD,Reactor,0,Variable meteorológica.,0.5
PM2.5,Sin definir,4,PM2.5 ligado fuertemente a combustión y procesos térmicos; sin definir puede contener esas fuentes.,0.6
PM2.5,Horno,8,Hornos que queman combustibles sólidos o coque generan partículas finas.,0.6
PM2.5,Caldera,8,Calderas industriales son emisoras relevantes de PM2.5 si no tienen control de partículas.,0.6
PM2.5,Caldera horno,8,Similar: combinación con emisiones de partículas finas.,0.6
PM2.5,Planta de asfalto,7,Procesos de calentamiento y manejo de agregados generan partículas finas (y PM10).,0.6
PM2.5,Secadores,6,Secado de materiales y emisiones de gases/aerosoles pueden contribuir a PM2.5.,0.6
PM2.5,Molino,5,Molienda genera polvo; fracción fina puede contribuir si no hay controles.,0.6
PM2.5,Trituradora,5,Trituración produce polvo fino-medio; depende de material y controles.,0.6
PM2.5,Chimenea,6,"Chimenea descarga partículas de procesos de combustión — si la fuente genera PM, la chimenea la transporta.",0.6
PM2.5,No aplica (área de operación),5,"Actividades de área (tráfico interno, manejo de materiales, resuspensión) pueden generar PM2.5 de forma difusa significativa.",0.6
PM2.5,Batería de coquización,9,Proceso de coquización genera partículas finas significativas.,0.6
PM2.5,Reactor,4,Dependiendo del proceso químico puede emitir partículas; en general menor que combustión directa.,0.6
NO2,Sin definir,3,NO₂ proviene de combustión a alta temperatura; sin definir puede incluir calderas/hornos.,0.4
NO2,Horno,7,Combustión a alta temperatura produce NOx → NO₂.,0.4
NO2,Caldera,8,"Calderas industriales = fuente principal de NOx si queman gasóleo, carbón o fuel.",0.4
NO2,Caldera horno,8,Alto potencial de NOx por condiciones de combustión.,0.4
NO2,Planta de asfalto,7,Quemadores y mezclado a alta T generan NOx.,0.4
NO2,Secadores,5,"Si usan combustión, generan NOx moderado.",0.4
NO2,Molino,1,Operaciones mecánicas no generan NO₂ directamente.,0.4
NO2,Trituradora,1,Operaciones mecánicas no generan NO₂ directamente.,0.4
NO2,Chimenea,6,Transporta NOx de la fuente de combustión.,0.4
NO2,No aplica (área de operación),3,Área de operación puede incluir vehículos/equipos móviles que generan NO₂; emisiones difusas moderadas.,0.4
NO2,Batería de coquización,9,Proceso térmico y coque producen cantidades considerables de NOx.,0.4
