Variable,Tipo de fuente,Probabilidad,Justificación,Ponderación
SO2,Sin definir,4,Emisiones de SO₂ suelen asociarse a combustión de combustibles fósiles; sin definir probablemente incluye combustibles líquidos/solidos.,0.4
SO2,Horno,7,Hornos que queman combustibles fósiles o coque emiten SO₂; intensidad depende del combustible.,0.4
SO2,Caldera,8,"Calderas industriales queman combustibles (residual, fuel oil, gas) y suelen ser fuentes importantes de SO₂.",0.4
SO2,Caldera horno,8,Combina características de caldera y horno — alta probabilidad de SO₂ por combustión.,0.4
SO2,Planta de asfalto,6,Uso de combustibles bituminosos y procesos de calentamiento emiten SO₂ moderado-alto.,0.4
SO2,Secadores,5,"Secadores industriales (si usan combustión) pueden emitir SO₂, pero menor que calderas.",0.4
SO2,Molino,1,Procesamiento mecánico en molinos no suele generar SO₂; solo si tienen quemadores asociados.,0.4
SO2,Trituradora,1,"Igual que molino: principalmente físico, no combustión directa.",0.4
SO2,Chimenea,5,"Chimenea es el conducto de salida; si está asociada a combustión, puede transportar SO₂ (depende de fuente).",0.4
SO2,No aplica (área de operación),4,Actividad de área puede incluir combustión distribuida o manejo de materiales con azufre; probabilidad moderada para emisiones difusas.,0.4
SO2,Batería de coquización,9,La coquización libera compuestos sulfurados; alta emisión de SO₂/compuestos originados en coque.,0.4
SO2,Reactor,4,Depende del proceso del reactor; ciertos procesos químicos pueden emitir SO₂ pero no es general.,0.4
PM2.5,Sin definir,4,PM2.5 ligado fuertemente a combustión y procesos térmicos; sin definir puede contener esas fuentes.,0.6
PM2.5,Horno,8,Hornos que queman combustibles sólidos o coque generan partículas finas.,0.6
PM2.5,Caldera,8,Calderas industriales son emisoras relevantes de PM2.5 si no tienen control de partículas.,0.6
PM2.5,Caldera horno,8,Similar: combinación con emisiones de partículas finas.,0.6
PM2.5,Planta de asfalto,7,Procesos de calentamiento y manejo de agregados generan partículas finas (y PM10).,0.6
PM2.5,Secadores,6,Secado de materiales y emisiones de gases/aerosoles pueden contribuir a PM2.5.,0.6
PM2.5,Molino,5,Molienda genera polvo; fracción fina puede contribuir si no hay controles.,0.6
PM2.5,Trituradora,5,Trituración produce polvo fino-medio; depende de material y controles.,0.6
PM2.5,Chimenea,6,"Chimenea descarga partículas de procesos de combustión — si la fuente genera PM, la chimenea la transporta.",0.6
PM2.5,No aplica (área de operación),5,"Actividades de área (tráfico interno, manejo de materiales, resuspensión) pueden generar PM2.5 de forma difusa significativa.",0.6
PM2.5,Batería de coquización,9,Proceso de coquización genera partículas finas significativas.,0.6
PM2.5,Reactor,4,Dependiendo del proceso químico puede emitir partículas; en general menor que combustión directa.,0.6
NO2,Sin definir,3,NO₂ proviene de combustión a alta temperatura; sin definir puede incluir calderas/hornos.,0.4
NO2,Horno,7,Combustión a alta temperatura produce NOx → NO₂.,0.4
NO2,Caldera,8,"Calderas industriales = fuente principal de NOx si queman gasóleo, carbón o fuel.",0.4
NO2,Caldera horno,8,Alto potencial de NOx por condiciones de combustión.,0.4
NO2,Planta de asfalto,7,Quemadores y mezclado a alta T generan NOx.,0.4
NO2,Secadores,5,"Si usan combustión, generan NOx moderado.",0.4
NO2,Molino,1,Operaciones mecánicas no generan NO₂ directamente.,0.4
NO2,Trituradora,1,Operaciones mecánicas no generan NO₂ directamente.,0.4
NO2,Chimenea,6,Transporta NOx de la fuente de combustión.,0.4
NO2,No aplica (área de operación),3,Área de operación puede incluir vehículos/equipos móviles que generan NO₂; emisiones difusas moderadas.,0.4
NO2,Batería de coquización,9,Proceso térmico y coque producen cantidades considerables de NOx.,0.4
NO2,Reactor,3,Algunos procesos químicos generan NOx; no es universal.,0.4
CO,Sin definir,3,CO es producto de combustión incompleta; sin definir puede cubrir procesos incompletos.,0.4
CO,Horno,7,Combustión incompleta en hornos puede generar CO elevado.,0.4
CO,Caldera,6,Calderas bien ajustadas generan menos CO; mal mantenimiento puede elevarlo.,0.4
CO,Caldera horno,7,Combinación con posibilidad de combustión incompleta.,0.4
CO,Planta de asfalto,6,Procesos de mezclado y calentamiento pueden generar CO.,0.4
CO,Secadores,5,"Si usan quemadores sin buena combustión, generan CO.",0.4
CO,Molino,1,Actividad mecánica no produce CO.,0.4
CO,Trituradora,1,Actividad mecánica no produce CO.,0.4
CO,Chimenea,6,"Si la fuente emite CO, chimenea lo transporta.",0.4
CO,No aplica (área de operación),4,Vehículos y equipos móviles en área de operación generan CO por combustión incompleta; emisiones difusas moderadas.,0.4
CO,Batería de coquización,8,Coquización genera gases combustibles y CO por procesos de destilación/carbonización.,0.4
CO,Reactor,3,"Reacciones químicos específicos pueden generar CO, pero es menos común.",0.4
NO,Sin definir,3,NO (monóxido o NO gas) surge en combustión de alta T; sin definir puede incluirlo.,0.4
NO,Horno,7,Hornos generan NO que se oxida a NO₂ posteriormente.,0.4
NO,Caldera,8,Calderas industriales generan NO por alta temperatura de combustión.,0.4
NO,Caldera horno,8,Alto potencial de formación de NO.,0.4
NO,Planta de asfalto,7,Generación de NO por quemadores.,0.4
NO,Secadores,5,"Si usan combustión, generan NO.",0.4
NO,Molino,1,Operaciones mecánicas no producen NO.,0.4
NO,Trituradora,1,Operaciones mecánicas no producen NO.,0.4
NO,Chimenea,6,Transporta NO (si la fuente lo emite).,0.4
NO,No aplica (área de operación),4,Vehículos y equipos móviles en área pueden generar NO por combustión; emisiones difusas moderadas.,0.4
NO,Batería de coquización,9,Coquización y altos T producen NO/NOx apreciables.,0.4
NO,Reactor,3,Posible en procesos químicos específicos.,0.4
PM10,Sin definir,5,PM10 asociada a manejo de partículas/combustión; sin definir suele incluir procesos emisores.,0.6
PM10,Horno,8,Hornos generan partículas gruesas y finas según combustible y material procesado.,0.6
PM10,Caldera,8,Calderas sin control son fuentes importantes de PM10.,0.6
PM10,Caldera horno,8,Alto riesgo de emisión de PM10.,0.6
PM10,Planta de asfalto,8,Manipulación de áridos y mezclado produce PM10 considerable.,0.6
PM10,Secadores,6,Emisión de material particulado al secar agregados o materiales.,0.6
